,,FI,CO,MM,LO,SD
Compnay A (7 Attributes),,,,,,
UPA_I,Baseline ,0.0801 ± 0.0020,0.3278 ± 0.0041,0.3271 ± 0.0111,0.1409 ± 0.0182,0.3935 ± 0.0135
UPA_I,F1 Score (positive class) ,0.9605 ± 0.0018,0.9963 ± 0.0008,0.9886 ± 0.0025,0.9138 ± 0.0114,0.9794 ± 0.0039
UPA_I,F1 Score (negative class) ,0.9966 ± 0.0001,0.9982 ± 0.0004,0.9944 ± 0.0013,0.9855 ± 0.0021,0.9870 ± 0.0026
UPA_I,Macro F1 Score ,0.9785 ± 0.0010,0.9973 ± 0.0006,0.9915 ± 0.0019,0.9497 ± 0.0067,0.9832 ± 0.0033
UPA_T,Baseline ,0.0041 ± 0.0032,0.0000 ± 0.0000,0.0217 ± 0.0163,0.0417 ± 0.0320,0.0585 ± 0.0368
UPA_T,F1 Score (positive class) ,0.5645 ± 0.0214,0.5799 ± 0.0638,0.5620 ± 0.0936,0.4724 ± 0.1201,0.7389 ± 0.0715
UPA_T,F1 Score (negative class) ,0.9982 ± 0.0001,0.9987 ± 0.0001,0.9943 ± 0.0007,0.9916 ± 0.0011,0.9844 ± 0.0038
UPA_T,Macro F1 Score ,0.7813 ± 0.0107,0.7893 ± 0.0319,0.7782 ± 0.0470,0.7320 ± 0.0601,0.8616 ± 0.0376
UPA_R,Baseline ,0.0054 ± 0.0019,0.0053 ± 0.0087,0.0122 ± 0.0103,0.0060 ± 0.0130,0.0558 ± 0.0225
UPA_R,F1 Score (positive class) ,0.5959 ± 0.0131,0.6195 ± 0.0424,0.6700 ± 0.0592,0.4794 ± 0.1683,0.7873 ± 0.0376
UPA_R,F1 Score (negative class) ,0.9982 ± 0.0001,0.9988 ± 0.0001,0.9950 ± 0.0008,0.9917 ± 0.0010,0.9870 ± 0.0025
UPA_R,Macro F1 Score ,0.7971 ± 0.0066,0.8091 ± 0.0212,0.8325 ± 0.0299,0.7355 ± 0.0843,0.8871 ± 0.0200
Compnay B (7 Attributes),,,,,,
