,Score,FI,CO,MM,LO,SD
Company A (7 Attributes),,,,,,
UPA_I,Baseline,0.0795 ± 0.0139,0.3249 ± 0.0123,0.3307 ± 0.0179,0.1446 ± 0.0209,0.3896 ± 0.0736
UPA_I,F1 Score (positive class),0.7822 ± 0.0607,0.9796 ± 0.0135,0.9569 ± 0.0182,0.8444 ± 0.0367,0.8277 ± 0.0693
UPA_I,F1 Score (negative class),0.9817 ± 0.0056,0.9903 ± 0.0066,0.9787 ± 0.0083,0.9751 ± 0.0072,0.8932 ± 0.0538
UPA_I,Macro F1 Score,0.8820 ± 0.0330,0.9849 ± 0.0101,0.9678 ± 0.0132,0.9098 ± 0.0219,0.8604 ± 0.0607
UPA_T,Baseline,0.0055 ± 0.0036,0.0010 ± 0.0029,0.0158 ± 0.0119,0.0179 ± 0.0190,0.0567 ± 0.0206
UPA_T,F1 Score (positive class),0.4991 ± 0.0319,0.4775 ± 0.1790,0.6063 ± 0.0432,0.3138 ± 0.2042,0.7418 ± 0.0754
UPA_T,F1 Score (negative class),0.9979 ± 0.0003,0.9987 ± 0.0003,0.9943 ± 0.0005,0.9915 ± 0.0021,0.9850 ± 0.0036
UPA_T,Macro F1 Score,0.7485 ± 0.0160,0.7381 ± 0.0896,0.8003 ± 0.0216,0.6526 ± 0.1029,0.8634 ± 0.0394
UPA_R,Baseline,0.0056 ± 0.0039,0.0029 ± 0.0045,0.0146 ± 0.0101,0.0120 ± 0.0153,0.0616 ± 0.0244
UPA_R,F1 Score (positive class),0.5127 ± 0.0304,0.4990 ± 0.0896,0.6244 ± 0.0650,0.2941 ± 0.2041,0.7379 ± 0.0477
UPA_R,F1 Score (negative class),0.9980 ± 0.0003,0.9987 ± 0.0002,0.9943 ± 0.0009,0.9913 ± 0.0016,0.9844 ± 0.0023
UPA_R,Macro F1 Score,0.7553 ± 0.0153,0.7488 ± 0.0449,0.8094 ± 0.0329,0.6427 ± 0.1023,0.8611 ± 0.0249
Company B (7 Attributes),,,,,,
UPA_I,Baseline,0.0233 ± 0.0033,0.0863 ± 0.0082,0.1686 ± 0.0041,0.1173 ± 0.0021,0.0923 ± 0.0023
UPA_I,F1 Score (positive class),0.6346 ± 0.0638,0.7075 ± 0.1481,0.9069 ± 0.0119,0.9347 ± 0.0102,0.9071 ± 0.0176
UPA_I,F1 Score (negative class),0.9929 ± 0.0018,0.9776 ± 0.0077,0.9820 ± 0.0023,0.9914 ± 0.0014,0.9911 ± 0.0018
UPA_I,Macro F1 Score,0.8137 ± 0.0328,0.8426 ± 0.0778,0.9445 ± 0.0071,0.9631 ± 0.0058,0.9491 ± 0.0097
UPA_T,Baseline,0.0017 ± 0.0009,0.0031 ± 0.0019,0.0101 ± 0.0019,0.0065 ± 0.0013,0.0098 ± 0.0016
UPA_T,F1 Score (positive class),0.5162 ± 0.0558,0.2116 ± 0.0852,0.4964 ± 0.0611,0.5440 ± 0.0206,0.8468 ± 0.0169
UPA_T,F1 Score (negative class),0.9993 ± 0.0001,0.9982 ± 0.0004,0.9964 ± 0.0002,0.9979 ± 0.0001,0.9985 ± 0.0001
UPA_T,Macro F1 Score,0.7578 ± 0.0279,0.6049 ± 0.0427,0.7464 ± 0.0306,0.7710 ± 0.0103,0.9227 ± 0.0085
UPA_R,Baseline,0.0019 ± 0.0008,0.0023 ± 0.0012,0.0095 ± 0.0018,0.0056 ± 0.0008,0.0103 ± 0.0012
